Epoch,Composite Loss,PDE Loss,w0 Loss,wx0 Loss,wL Loss,wxxL Loss,wxxxL Loss
157,4.119893219467485e-06,2.0599461549863918e-06,1.4894811783960904e-06,1.5018310151049263e-08,1.3093489314996987e-07,1.2339657295967754e-08,4.056050784129184e-07
158,4.5408596633933485e-06,2.2704300590703497e-06,1.495286483077507e-06,5.531989799578696e-08,1.5682763887525653e-07,1.4904944123372843e-07,4.067967722676258e-07
159,9.18586283660261e-06,4.592931418301305e-06,1.7310555904259672e-06,4.4915447006133036e-07,4.3054191678493225e-07,1.5312766663555522e-06,4.4032040591446275e-07
160,5.5407031140930485e-06,2.7703515570465242e-06,1.539829895591538e-06,1.3800789133711078e-07,2.1966093299852218e-07,4.710095140580961e-07,3.934721064524638e-07
161,4.474736670090351e-06,2.2373683350451756e-06,1.4568828419214697e-06,5.9592885293113795e-08,1.5141741016577726e-07,1.5944324616157246e-07,4.034345124637184e-07
162,4.070692284585675e-06,2.0353461422928376e-06,1.4141377278065193e-06,2.6582783974049562e-08,1.336340744728659e-07,5.5677880084203935e-08,3.979936593623279e-07
163,4.038568022224354e-06,2.019284011112177e-06,1.3992445246913121e-06,2.7683691783408904e-08,1.3445354341001803e-07,5.6775327550440124e-08,3.9366904047710705e-07
164,3.811054966718075e-06,1.9055274833590374e-06,1.3710566690861015e-06,1.137111915738842e-08,1.2529429227470246e-07,4.293413180533889e-09,3.8531808854713745e-07
165,3.7712745779572288e-06,1.8856372889786144e-06,1.3501578450814122e-06,1.3410453192364002e-08,1.2460812115477893e-07,4.938921271957497e-09,3.8427299386967206e-07
166,5.323464392859023e-06,2.6617321964295115e-06,1.4129142300589592e-06,1.4994851937899512e-07,2.151242739500958e-07,4.760390197589004e-07,3.982974590144295e-07
167,1.2028270248265471e-05,6.014135124132736e-06,1.7789926687328261e-06,6.961916483305686e-07,6.175300768518355e-07,2.4819933059916366e-06,4.2402055555612606e-07
