Epoch;Composite Loss;PDE Loss;w0 Loss;wx0 Loss;wL Loss;wxxL Loss;wxxxL Loss
133;2,89E-05;1,44E-05;8,06E-06;8,41E-08;5,55E-07;2,10E-07;1,30E-06
134;2,86E-05;1,43E-05;8,01E-06;7,56E-08;4,92E-07;1,64E-07;1,32E-06
135;2,87E-05;1,43E-05;7,98E-06;8,19E-08;5,41E-07;1,85E-07;1,31E-06
136;2,87E-05;1,44E-05;7,95E-06;8,28E-08;5,46E-07;2,21E-07;1,32E-06
137;2,92E-05;1,46E-05;7,93E-06;9,54E-08;6,39E-07;3,52E-07;1,31E-06
138;3,21E-05;1,61E-05;7,96E-06;1,55E-07;1,08E-06;1,26E-06;1,32E-06
139;2,93E-05;1,46E-05;7,92E-06;8,30E-08;5,49E-07;4,64E-07;1,33E-06
140;2,88E-05;1,44E-05;7,93E-06;9,28E-08;6,11E-07;2,40E-07;1,28E-06
141;2,90E-05;1,45E-05;7,90E-06;8,73E-08;5,77E-07;3,24E-07;1,31E-06
142;2,84E-05;1,42E-05;7,86E-06;7,86E-08;5,13E-07;1,71E-07;1,30E-06
143;2,88E-05;1,44E-05;7,84E-06;9,26E-08;6,13E-07;2,72E-07;1,29E-06
144;3,41E-05;1,70E-05;7,89E-06;2,03E-07;1,41E-06;1,90E-06;1,32E-06
145;3,00E-05;1,50E-05;7,84E-06;9,76E-08;6,50E-07;7,23E-07;1,33E-06
146;2,90E-05;1,45E-05;7,87E-06;9,73E-08;6,38E-07;3,40E-07;1,28E-06
147;2,85E-05;1,42E-05;7,83E-06;8,26E-08;5,37E-07;2,08E-07;1,29E-06
148;2,85E-05;1,42E-05;7,79E-06;8,14E-08;5,32E-07;2,13E-07;1,30E-06
149;2,83E-05;1,42E-05;7,75E-06;8,11E-08;5,29E-07;1,62E-07;1,30E-06
150;2,85E-05;1,42E-05;7,73E-06;8,78E-08;5,77E-07;2,20E-07;1,30E-06
151;2,93E-05;1,46E-05;7,72E-06;1,06E-07;7,02E-07;4,62E-07;1,30E-06
152;3,10E-05;1,55E-05;7,73E-06;1,40E-07;9,46E-07;1,02E-06;1,31E-06
153;2,86E-05;1,43E-05;7,70E-06;8,17E-08;5,33E-07;3,34E-07;1,30E-06
154;2,84E-05;1,42E-05;7,70E-06;8,70E-08;5,66E-07;1,95E-07;1,28E-06
155;2,89E-05;1,44E-05;7,68E-06;1,00E-07;6,59E-07;3,43E-07;1,28E-06
156;3,17E-05;1,59E-05;7,69E-06;1,59E-07;1,07E-06;1,26E-06;1,30E-06
157;2,88E-05;1,44E-05;7,65E-06;8,46E-08;5,52E-07;4,30E-07;1,31E-06
158;2,85E-05;1,42E-05;7,66E-06;9,42E-08;6,13E-07;2,30E-07;1,26E-06
159;2,88E-05;1,44E-05;7,63E-06;9,54E-08;6,25E-07;3,57E-07;1,28E-06
160;2,84E-05;1,42E-05;7,60E-06;8,68E-08;5,67E-07;2,52E-07;1,29E-06
161;2,88E-05;1,44E-05;7,59E-06;1,01E-07;6,65E-07;3,64E-07;1,28E-06
162;3,30E-05;1,65E-05;7,63E-06;1,91E-07;1,28E-06;1,67E-06;1,30E-06
163;2,92E-05;1,46E-05;7,59E-06;9,26E-08;6,04E-07;5,86E-07;1,31E-06
164;2,87E-05;1,43E-05;7,62E-06;1,03E-07;6,67E-07;3,07E-07;1,25E-06
165;2,81E-05;1,41E-05;7,57E-06;7,90E-08;5,11E-07;2,19E-07;1,29E-06
166;2,81E-05;1,41E-05;7,54E-06;8,85E-08;5,76E-07;1,81E-07;1,27E-06
167;2,84E-05;1,42E-05;7,51E-06;9,32E-08;6,09E-07;2,93E-07;1,28E-06
168;2,88E-05;1,44E-05;7,50E-06;1,04E-07;6,82E-07;4,16E-07;1,28E-06
169;3,08E-05;1,54E-05;7,51E-06;1,48E-07;9,78E-07;1,03E-06;1,29E-06
170;2,90E-05;1,45E-05;7,49E-06;9,56E-08;6,23E-07;5,30E-07;1,29E-06
171;2,82E-05;1,41E-05;7,49E-06;9,07E-08;5,86E-07;2,33E-07;1,26E-06
172;2,84E-05;1,42E-05;7,47E-06;9,71E-08;6,32E-07;2,79E-07;1,26E-06
173;2,98E-05;1,49E-05;7,47E-06;1,27E-07;8,34E-07;7,40E-07;1,27E-06
174;2,93E-05;1,47E-05;7,45E-06;1,10E-07;7,15E-07;6,26E-07;1,28E-06
175;2,79E-05;1,40E-05;7,43E-06;8,18E-08;5,28E-07;1,87E-07;1,27E-06
176;2,79E-05;1,40E-05;7,41E-06;8,79E-08;5,70E-07;1,69E-07;1,26E-06
177;3,00E-05;1,50E-05;7,42E-06;1,41E-07;9,24E-07;7,83E-07;1,26E-06
178;3,46E-05;1,73E-05;7,46E-06;2,16E-07;1,42E-06;2,35E-06;1,34E-06
179;2,99E-05;1,49E-05;7,50E-06;1,39E-07;8,94E-07;7,40E-07;1,24E-06
180;2,82E-05;1,41E-05;7,47E-06;8,60E-08;5,46E-07;3,02E-07;1,27E-06
181;2,80E-05;1,40E-05;7,43E-06;8,32E-08;5,40E-07;2,20E-07;1,27E-06
182;2,80E-05;1,40E-05;7,39E-06;9,07E-08;5,86E-07;1,96E-07;1,27E-06
183;2,78E-05;1,39E-05;7,35E-06;8,31E-08;5,41E-07;1,80E-07;1,28E-06
184;2,79E-05;1,39E-05;7,32E-06;8,82E-08;5,75E-07;1,81E-07;1,27E-06
185;2,78E-05;1,39E-05;7,30E-06;8,70E-08;5,66E-07;1,88E-07;1,27E-06
186;2,79E-05;1,40E-05;7,28E-06;9,10E-08;5,92E-07;2,08E-07;1,26E-06
187;2,93E-05;1,46E-05;7,29E-06;1,26E-07;8,18E-07;6,06E-07;1,25E-06
188;3,27E-05;1,63E-05;7,33E-06;1,91E-07;1,24E-06;1,74E-06;1,29E-06
189;2,84E-05;1,42E-05;7,33E-06;9,70E-08;6,20E-07;4,01E-07;1,25E-06
190;2,82E-05;1,41E-05;7,34E-06;9,61E-08;6,15E-07;3,01E-07;1,24E-06
